Address,Latitude,Longitude
"1 Seymour Place, PADDINGTON  NSW  2021",-33.885031700000006,151.218688
"1 Shakespeare Place, SYDNEY  NSW  2000",-33.8664963,151.2130501
"1 Sheehy Street, GLEBE  NSW  2037",-33.874638,151.1851489
"1 Shelley Street, SYDNEY  NSW  2000",-33.8661458,151.2020483
"1 Shepherd Lane, DARLINGTON  NSW  2008",-33.891673299999994,151.19577859999995
"1 Shepherd Street, CHIPPENDALE  NSW  2008",-33.8848234,151.1958724
"1 Shirley Street, ALEXANDRIA  NSW  2015",-33.916628100000004,151.19984
"1 Short Street, PADDINGTON  NSW  2021",-33.8838398,151.2191565
"1 Smithers Street, CHIPPENDALE  NSW  2008",-33.8863677,151.1980074
"1 Sparkes Lane, CAMPERDOWN  NSW  2050",-33.8849005,151.1814615
"1 St Neot Avenue, POTTS POINT  NSW  2011",-33.8679251,151.2240947
"1 Steam Mill Lane, HAYMARKET  NSW  2000",-33.8785116,151.2011783
"1 Steel Street, SURRY HILLS  NSW  2010",-33.8870485,151.2113494
"1 Sterling Circuit, CAMPERDOWN  NSW  2050",-33.8848921,151.17627
"1 Stewart Place, PADDINGTON  NSW  2021",-33.8887011,151.2293591
"1 Stewart Street, GLEBE  NSW  2037",-33.8728378,151.1826711
"1 Stewart Street, PADDINGTON  NSW  2021",-33.8871071,151.2258972
"1 Taylor Street, GLEBE  NSW  2037",-33.8752902,151.1883202
"1 Tewkesbury Avenue, DARLINGHURST  NSW  2010",-33.8768612,151.21963780000004
"1 Thomson Street, DARLINGHURST  NSW  2010",-33.87749779999999,151.21801499999995
"1 Towns Place, MILLERS POINT  NSW  2000",-33.8566383,151.20293669999995
"1 Union Street, PYRMONT  NSW  2009",-33.8697472,151.1946041
"1 Union Street, WATERLOO  NSW  2017",-33.8961898,151.2044956
"1 Upper Road, FOREST LODGE  NSW  2037",-33.8820735,151.1782246
"1 Waratah Street, RUSHCUTTERS BAY  NSW  2011",-33.8737729,151.22776430000005
"1 Warren Ball Avenue, NEWTOWN  NSW  2042",-33.89406760000001,151.1855968
"1 Watson Road, MILLERS POINT  NSW  2000",-33.8587727,151.2051267
"1 Wellington Street, WATERLOO  NSW  2017",-33.898467700000005,151.2081026
"1 Wiley Street, CHIPPENDALE  NSW  2008",-33.888099100000005,151.1973467
"1 William Street, DARLINGHURST  NSW  2010",-33.8740146,151.213301
"1 Windmill Street, MILLERS POINT  NSW  2000",-33.857824900000004,151.20469440000005
"1 Wood Street, FOREST LODGE  NSW  2037",-33.8826726,151.1788149
"1 York Street, SYDNEY  NSW  2000",-33.863638,151.2049168
"1 Zamia Street, REDFERN  NSW  2016",-33.8951699,151.2105653
"1-11 Brodrick Street, CAMPERDOWN  NSW  2050",-33.8872026,151.17804040000001
"1-11 Hayes Road, ROSEBERY  NSW  2018",-33.9176904,151.20063069999995
"1-11 King Street, NEWTOWN  NSW  2042",-33.892866999999995,151.1843115
"1-11 Murray Street, WATERLOO  NSW  2017",-33.901238799999994,151.2143066
"1-11 Oxford Street, PADDINGTON  NSW  2021",-33.881823600000004,151.2192385
"1-13 Boronia Street, REDFERN  NSW  2016",-33.893907,151.2131135
"1-15 Foveaux Street, SURRY HILLS  NSW  2010",-33.8839776,151.20899780000005
"1-15 O'Connell Street, SYDNEY  NSW  2000",-33.8643921,151.2099561
"1-15 Wilson Street, NEWTOWN  NSW  2042",-33.8972752,151.1796644
"1-17 Euston Road, ALEXANDRIA  NSW  2015",-33.9044324,151.1930924
"1-17 Kent Street, MILLERS POINT  NSW  2000",-33.8579285,151.2031976
"1-17 Mary Ann Street, ULTIMO  NSW  2007",-33.8825122,151.1983795
"1-19 Hargrave Street, DARLINGHURST  NSW  2010",-33.87650120000001,151.2128596
"1-19 Little Hay Street, HAYMARKET  NSW  2000",-33.8786953,151.2037571
"1-19 Oxford Street, SURRY HILLS  NSW  2010",-33.877470100000004,151.21238
"1-19 Regent Street, REDFERN  NSW  2016",-33.889544,151.2019631
"1-1A Amelia Street, WATERLOO  NSW  2017",-33.901132399999995,151.2134625
"1-1A Booth Street, ANNANDALE  NSW  2038",-33.8830463,151.1756366
"1-1A Brown Street, NEWTOWN  NSW  2042",-33.8953586,151.1822901
"1-1A Bucknell Street, NEWTOWN  NSW  2042",-33.8939295,151.18379019999998
"1-21 Bay Street, GLEBE  NSW  2037",-33.883483899999995,151.19392240000005
"1-21 Darlinghurst Road, POTTS POINT  NSW  2011",-33.8730888,151.2245132
"1-25 Adelaide Street, SURRY HILLS  NSW  2010",-33.8869524,151.2109986
"1-27 Murray Street, PYRMONT  NSW  2009",-33.8687347,151.1973526
"1-29 Bunn Street, PYRMONT  NSW  2009",-33.871632500000004,151.19717269999995
"1-29 Loftus Street, SYDNEY  NSW  2000",-33.8623564,151.21024350000005
"1-3 Botany Road, WATERLOO  NSW  2017",-33.89528200000001,151.19938969999995
"1-3 Burrows Road, ST PETERS  NSW  2044",-33.917998,151.17919799999999
"1-3 Derwent Street, GLEBE  NSW  2037",-33.8842983,151.1916186
"1-3 Elger Street, GLEBE  NSW  2037",-33.88025349999999,151.19343369999999
"1-3 Hickson Road, THE ROCKS  NSW  2000",-33.857805600000006,151.20945830000005
"1-3 Larkin Street, CAMPERDOWN  NSW  2050",-33.884333399999996,151.18020869999995
"1-3 Lawrence Street, ALEXANDRIA  NSW  2015",-33.9017103,151.1944112
"1-3 Macarthur Street, ULTIMO  NSW  2007",-33.881100700000005,151.19489119999997
"1-3 Mandible Street, ALEXANDRIA  NSW  2015",-33.9037926,151.2006834
"1-3 Manning Street, POTTS POINT  NSW  2011",-33.8709578,151.2245391
"1-3 Onslow Avenue, ELIZABETH BAY  NSW  2011",-33.8693774,151.22649669999996
"1-3 Rockwall Crescent, POTTS POINT  NSW  2011",-33.869810799999996,151.22408149999995
"1-3 Rosebery Avenue, ROSEBERY  NSW  2018",-33.911664,151.20792580000003
"1-3 Roslyn Street, POTTS POINT  NSW  2011",-33.8737972,151.22437119999995
"1-3 Ross Street, FOREST LODGE  NSW  2037",-33.8845475,151.18448610000004
"1-3 Smail Street, ULTIMO  NSW  2007",-33.883151299999994,151.1955705
